ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,finalRun,fishOrigin,lifeStage,actualCount,forkLength,totalLength,n,visitTime,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode
11,22160,1299,Chinook salmon,263,Not recorded,,Natural,Not recorded,Yes,,,1,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,22974,1344,Chinook salmon,264,Not recorded,,Natural,Not recorded,Yes,,,10,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,22989,1345,Chinook salmon,264,Not recorded,,Natural,Juvenile,Yes,,,8,1970-01-01T00:00:00Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23474,1371,Chinook salmon,265,Not recorded,,Natural,Juvenile,Yes,,,65,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23484,1372,Chinook salmon,265,Not recorded,,Natural,Not recorded,Yes,,,24,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23804,1405,Chinook salmon,266,Spring,,Natural,Juvenile,Yes,,,13,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23818,1406,Chinook salmon,266,Spring,,Natural,Not recorded,Yes,,,6,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,25130,1471,Chinook salmon,267,Not recorded,,Natural,Not recorded,Yes,,,6,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,25709,1486,Chinook salmon,268,Not recorded,,Natural,Not recorded,Yes,,,109,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,28425,1488,Chinook salmon,268,Spring,,Natural,Juvenile,Yes,,,3,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,28563,1281,Chinook salmon,261,Spring,,Natural,Fry,Yes,,,14,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29767,1283,Chinook salmon,261,Not recorded,,Natural,Juvenile,Yes,,,5,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29768,1285,Chinook salmon,261,Not recorded,,Natural,Juvenile,Yes,,,3,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29770,1297,Chinook salmon,263,Not recorded,,Natural,Juvenile,Yes,,,55,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29771,1298,Chinook salmon,263,Not recorded,,Natural,Juvenile,Yes,,,5,1970-01-01T00:00:00Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
