visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,NA,NA,NA,1995-12-01T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1995-12-01T09:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1995-12-04T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.1,NA,NA,1995-12-04T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1995-12-06T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.2,NA,NA,1995-12-06T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.2,NA,NA,1995-12-06T10:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1995-12-10T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.6,NA,NA,1995-12-10T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-01-12T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-01-12T09:15:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.6,NA,NA,1996-01-23T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-01-23T09:45:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.7,NA,NA,1996-01-24T09:30:00Z,parrot-phelan,pp rst,NA,Yes
end trapping,not recorded,not recorded,NA,NA,NA,1996-01-25T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-01-27T12:00:00Z,parrot-phelan,canal trap box,NA,Yes
end trapping,not recorded,not recorded,NA,NA,NA,1996-01-27T10:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-01-30T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.7,NA,NA,1996-01-30T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.4,NA,NA,1996-02-01T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-01T09:45:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-02T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-02T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-15T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
start trapping,not recorded,not recorded,0,NA,NA,1996-02-15T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-16T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-16T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-17T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-02-17T10:20:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.9,NA,NA,1996-02-18T10:15:00Z,parrot-phelan,pp rst,NA,Yes
